label,mean_a,mean_b,max_a,max_b
IDLE,0.007659683004021645,0.006316422019153833,0.04283295199275017,0.02989882603287697
IDLE,0.0046837711706757545,0.006594262085855007,0.017159517854452133,0.03203557804226875
IDLE,0.006046384107321501,0.009957240894436836,0.042569395154714584,0.03447331488132477
IDLE,0.006985580548644066,0.008016958832740784,0.05034948140382767,0.0581013448536396
IDLE,0.0067671616561710835,0.011286333203315735,0.04186336696147919,0.03641292452812195
IDLE,0.007844969630241394,0.008895542472600937,0.03232419490814209,0.04655306041240692
IDLE,0.006730009336024523,0.008174789138138294,0.03441539779305458,0.04153960943222046
IDLE,0.009419402107596397,0.009729200974106789,0.051953475922346115,0.048408299684524536
IDLE,0.005110363010317087,0.008269374258816242,0.04070146754384041,0.03994593024253845
IDLE,0.005996473133563995,0.009622291661798954,0.02902357652783394,0.05098655819892883
IDLE,0.006665622815489769,0.003805093001574278,0.047652047127485275,0.022259317338466644
IDLE,0.010056780651211739,0.0073536173440515995,0.04097511246800423,0.035951223224401474
IDLE,0.005823222920298576,0.010132813826203346,0.031228763982653618,0.0635770708322525
IDLE,0.003240762045606971,0.008701736107468605,0.024898948147892952,0.04120596498250961
IDLE,0.009899118915200233,0.007714832667261362,0.044858407229185104,0.035887401551008224
IDLE,0.005613911431282759,0.00856731180101633,0.028846096247434616,0.04890260472893715
IDLE,0.006888736505061388,0.009886621497571468,0.05618421733379364,0.03158371150493622
IDLE,0.007613812107592821,0.008044526912271976,0.03437589854001999,0.03920969367027283
IDLE,0.006715722382068634,0.009631246328353882,0.045632656663656235,0.034792959690093994
IDLE,0.006855941843241453,0.007968275807797909,0.04007018730044365,0.037189897149801254
IDLE,0.009179829619824886,0.00812483485788107,0.046196889132261276,0.04459463804960251
IDLE,0.008938183076679707,0.00966753251850605,0.04651559516787529,0.04599178209900856
IDLE,0.0050318920984864235,0.008268458768725395,0.039950285106897354,0.04017510637640953
IDLE,0.0038152700290083885,0.009532039985060692,0.023792440071702003,0.05828489363193512
IDLE,0.005680413916707039,0.007213168311864138,0.025457656010985374,0.04773903638124466
IDLE,0.005463318899273872,0.0061292489990592,0.0474921315908432,0.0384589247405529
IDLE,0.010133247822523117,0.004246144089847803,0.05619138106703758,0.02425767295062542
IDLE,0.006091186311095953,0.00861065462231636,0.03117632493376732,0.03617829084396362
IDLE,0.005863164085894823,0.004388665314763784,0.023806113749742508,0.040019262582063675
IDLE,0.005933267530053854,0.007686367724090815,0.033931732177734375,0.044283051043748856
IDLE,0.009871621616184711,0.004488436970859766,0.0571487694978714,0.03444720059633255
IDLE,0.007568941917270422,0.009435354731976986,0.030869856476783752,0.054079703986644745
IDLE,0.008512524887919426,0.005337783135473728,0.05625298619270325,0.03556641936302185
IDLE,0.006364890374243259,0.012548756785690784,0.03165658935904503,0.051450349390506744
IDLE,0.011516996659338474,0.011363236233592033,0.0553487166762352,0.050638094544410706
IDLE,0.004804623778909445,0.010338387452065945,0.031513553112745285,0.05207252502441406
IDLE,0.004910686518996954,0.011726315133273602,0.03633053973317146,0.04421281814575195
IDLE,0.008993149735033512,0.011601503938436508,0.03786097839474678,0.04545983672142029
IDLE,0.008462784811854362,0.009048805572092533,0.043173179030418396,0.047853533178567886
IDLE,0.005629627034068108,0.0062971943989396095,0.03131559118628502,0.02798272855579853
IDLE,0.009585022926330566,0.010617565363645554,0.049164872616529465,0.05269481614232063
IDLE,0.009128070436418056,0.00974649004638195,0.04987854138016701,0.06119062379002571
IDLE,0.005197098013013601,0.010614766739308834,0.022816255688667297,0.038891956210136414
IDLE,0.008082508109509945,0.012032115831971169,0.04599327966570854,0.04780445247888565
IDLE,0.006288197357207537,0.00859899539500475,0.028471188619732857,0.04943618178367615
IDLE,0.007769303862005472,0.0096664410084486,0.032319650053977966,0.06063525006175041
IDLE,0.005445912480354309,0.010410106740891933,0.02326991595327854,0.044681861996650696
IDLE,0.006122415419667959,0.010117149911820889,0.03487243875861168,0.0617702454328537
IDLE,0.004097058437764645,0.0030147009529173374,0.03375105932354927,0.03756758198142052
IDLE,0.008624941110610962,0.008516219444572926,0.0562889501452446,0.039645206183195114
